Sleep On, Date, Hour, Real (out), Imaginary (out)
0,Apr 01 - 2018,17:39,0.0000000000,0.0000000000
0,Apr 01 - 2018,17:42,0.0000000000,0.0000000000
0,Apr 01 - 2018,17:45,0.0000000000,0.0000000000
0,Apr 01 - 2018,17:48,0.0000000000,0.0000000000
0,Apr 01 - 2018,17:51,0.0000000000,0.0000000000
0,Apr 01 - 2018,17:54,0.0000000000,0.0000000000
0,Apr 01 - 2018,17:57,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:00,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:03,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:06,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:09,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:12,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:15,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:18,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:21,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:24,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:27,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:30,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:33,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:36,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:39,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:42,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:45,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:48,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:51,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:54,0.0000000000,0.0000000000
0,Apr 01 - 2018,18:57,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:00,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:03,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:06,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:09,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:12,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:15,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:18,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:21,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:24,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:27,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:30,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:33,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:36,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:39,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:42,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:45,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:48,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:51,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:54,0.0000000000,0.0000000000
0,Apr 01 - 2018,19:57,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:00,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:03,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:06,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:09,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:12,0.0000000000,0.0000000000
0,Apr 01 - 2018,20:15,0.0000000000,0.0000000000
